COORD,A0,E0,A4,E4
A0,-83,-80,-84,-82
A0,-83,-80,-84,-82
A0,-83,-80,-84,-82
A0,-83,-80,-84,-82
A0,-83,-80,-84,-82
A1,-83,-80,-84,-82
A1,-83,-80,-84,-82
A1,-83,-80,-84,-82
A1,-83,-80,-84,-82
A1,-83,-80,-84,-82
A1,-83,-80,-84,-82
A2,-83,-81,-79,-82
A2,-83,-81,-79,-82
A2,-83,-81,-79,-82
A3,-88,-81,-86,-82
A3,-88,-81,-86,-82
A3,-88,-81,-86,-82
A3,-88,-81,-86,-82
A4,-88,-81,-74,-82
A4,-88,-81,-74,-82
A4,-86,-80,-80,-82
A4,-86,-80,-80,-82
A4,-86,-80,-80,-82
B0,-89,-79,-86,-87
B0,-89,-79,-86,-87
B0,-83,-82,-86,-84
B0,-80,-82,-86,-84
B0,-80,-82,-86,-84
B0,-80,-82,-86,-84
B1,-80,-85,-86,-83
B1,-80,-85,-86,-83
B1,-80,-85,-86,-83
B1,-86,-85,-86,-83
B1,-86,-85,-86,-83
B1,-86,-85,-86,-83
B2,-86,-85,-86,-83
B2,-86,-85,-86,-83
B2,-87,-85,-86,-84
B2,-87,-85,-86,-84
B3,-87,-85,-78,-82
B3,-87,-85,-78,-82
B3,-87,-85,-78,-82
B3,-87,-85,-78,-82
B4,-87,-85,-78,-82
B4,-87,-85,-78,-82
B4,-87,-84,-78,-78
B4,-87,-84,-78,-78
B4,-87,-84,-78,-78
C0,-81,-82,-82,-85
C0,-81,-82,-82,-85
C0,-81,-82,-82,-85
C1,-82,-81,-92,-80
C1,-82,-81,-92,-80
C1,-82,-81,-92,-80
C2,-82,-81,-92,-80
C2,-82,-81,-92,-80
C2,-82,-81,-92,-80
C2,-82,-81,-92,-80
C3,-82,-82,-82,-77
C3,-82,-82,-82,-77
C3,-82,-82,-82,-77
C3,-82,-82,-82,-77
C4,-82,-82,-86,-83
C4,-82,-82,-86,-83
C4,-82,-87,-86,-77
C4,-82,-87,-86,-77
D0,-81,-80,-86,-80
D0,-77,-78,-86,-80
D0,-77,-78,-86,-80
D0,-81,-75,-84,-78
D0,-81,-75,-84,-78
D0,-82,-78,-84,-78
D0,-82,-78,-84,-78
D1,-87,-85,-86,-84
D1,-87,-85,-86,-84
D1,-87,-84,-86,-84
D2,-87,-74,-82,-84
D2,-87,-74,-82,-84
D2,-87,-80,-80,-84
D2,-87,-73,-80,-84
