COORD,A0,E0,A4,E4
A0,-64,-79,-86,-87
A0,-64,-79,-86,-87
A0,-64,-79,-86,-87
A0,-64,-79,-86,-87
A0,-64,-79,-86,-87
A0,-64,-79,-86,-87
A0,-64,-79,-86,-87
A0,-64,-79,-86,-87
A0,-64,-79,-86,-87
A0,-64,-79,-86,-87
A0,-64,-79,-86,-87
A0,-64,-79,-86,-87
A0,-64,-79,-86,-87
A0,-64,-79,-86,-87
A0,-64,-79,-86,-87
A0,-64,-79,-86,-87
A1,-75,-79,-80,-87
A1,-75,-79,-80,-87
A1,-75,-79,-80,-87
A1,-75,-79,-80,-87
A1,-75,-79,-80,-87
A1,-75,-79,-80,-87
A1,-75,-79,-80,-87
A1,-75,-79,-80,-87
A1,-75,-79,-80,-87
A1,-75,-79,-80,-87
A1,-75,-79,-80,-87
A1,-75,-79,-80,-87
A1,-75,-79,-80,-87
A1,-75,-79,-87,-87
A1,-75,-79,-87,-87
A1,-75,-79,-87,-87
A1,-75,-79,-87,-87
A1,-82,-79,-87,-87
A1,-75,-85,-87,-87
A1,-75,-85,-87,-87
A1,-82,-85,-87,-87
A1,-82,-85,-87,-87
A1,-81,-85,-87,-87
A1,-81,-85,-87,-87
A2,-83,-85,-88,-87
A2,-83,-85,-88,-87
A2,-81,-85,-86,-87
A2,-73,-85,-82,-87
A2,-73,-85,-82,-87
A2,-83,-85,-82,-87
A2,-82,-85,-90,-87
A2,-76,-85,-90,-87
A2,-76,-85,-83,-87
A2,-83,-85,-83,-87
A2,-76,-85,-88,-87
A2,-76,-85,-88,-87
A2,-88,-85,-88,-87
A2,-88,-85,-88,-87
A2,-88,-85,-83,-87
A3,-86,-85,-81,-87
A3,-86,-85,-80,-87
A3,-86,-85,-80,-87
A3,-81,-87,-83,-87
A3,-84,-79,-83,-87
A3,-84,-79,-83,-87
A3,-81,-82,-81,-87
A3,-81,-82,-82,-87
A3,-81,-83,-83,-86
A3,-81,-83,-81,-86
A3,-81,-83,-81,-86
A3,-84,-80,-81,-85
A4,-84,-80,-83,-85
A4,-84,-80,-83,-85
A4,-84,-80,-83,-85
A4,-84,-80,-83,-85
A4,-84,-80,-83,-85
A4,-84,-80,-83,-85
A4,-84,-80,-83,-85
A4,-82,-80,-79,-85
A4,-82,-80,-79,-85
A4,-82,-80,-79,-85
A4,-82,-80,-79,-85
A4,-82,-80,-79,-85
A4,-82,-80,-79,-85
A4,-82,-80,-79,-85
A4,-82,-80,-79,-85
B0,-80,-83,-81,-85
B0,-80,-83,-81,-85
B0,-76,-83,-81,-85
B0,-76,-83,-81,-85
B0,-73,-83,-81,-85
B0,-79,-83,-81,-85
B0,-79,-83,-81,-85
B0,-81,-83,-81,-85
B0,-81,-83,-81,-85
B0,-84,-83,-81,-85
B0,-84,-83,-81,-85
B0,-74,-84,-81,-85
B0,-86,-84,-81,-85
B0,-86,-84,-81,-85
B0,-79,-84,-81,-85
B0,-79,-84,-81,-85
B0,-75,-84,-81,-85
B0,-79,-84,-81,-85
B0,-77,-84,-81,-85
B0,-77,-84,-81,-85
B0,-77,-84,-81,-85
B0,-77,-84,-81,-85
B1,-75,-86,-81,-85
B1,-75,-86,-81,-85
B1,-75,-79,-81,-85
B1,-75,-79,-81,-85
B1,-75,-79,-81,-85
B1,-75,-79,-81,-85
B1,-75,-79,-81,-85
B1,-75,-79,-81,-85
B1,-75,-79,-81,-85
B1,-75,-79,-81,-85
B1,-75,-79,-81,-85
B1,-75,-79,-81,-85
B1,-75,-79,-81,-85
B1,-73,-77,-82,-85
B1,-73,-77,-82,-85
B1,-73,-77,-82,-85
B1,-73,-77,-82,-85
B1,-73,-77,-82,-85
B1,-73,-77,-82,-85
B1,-73,-77,-82,-85
B2,-77,-81,-84,-85
B2,-77,-81,-84,-85
B2,-77,-81,-84,-85
B2,-81,-81,-80,-85
B2,-81,-81,-80,-85
B2,-77,-81,-83,-85
B2,-77,-81,-83,-85
B2,-79,-81,-78,-85
B2,-79,-81,-78,-85
B2,-83,-81,-77,-85
B2,-83,-81,-84,-85
B2,-83,-81,-80,-85
B2,-83,-81,-80,-85
B2,-80,-81,-77,-85
B2,-80,-81,-77,-85
B2,-79,-81,-81,-85
B2,-79,-81,-81,-85
B2,-79,-81,-79,-85
B2,-79,-81,-79,-85
B2,-79,-81,-79,-85
B3,-78,-81,-84,-85
B3,-78,-81,-84,-85
B3,-78,-82,-84,-85
B3,-78,-82,-84,-85
B3,-78,-81,-84,-85
B3,-78,-81,-84,-85
B3,-78,-81,-84,-85
B3,-78,-84,-84,-85
B3,-78,-84,-84,-85
B3,-78,-84,-84,-85
B3,-78,-84,-84,-85
B3,-86,-83,-84,-85
B3,-86,-83,-84,-85
B3,-86,-83,-84,-85
B3,-86,-83,-84,-85
B3,-86,-83,-84,-85
B3,-86,-83,-84,-85
B4,-76,-82,-84,-85
B4,-76,-82,-84,-85
B4,-76,-82,-84,-85
B4,-76,-82,-84,-85
B4,-76,-83,-83,-85
B4,-76,-83,-83,-85
B4,-76,-83,-75,-85
B4,-76,-83,-75,-85
B4,-76,-86,-76,-85
B4,-76,-86,-76,-85
B4,-76,-83,-76,-85
B4,-76,-86,-80,-85
B4,-76,-86,-80,-85
B4,-76,-82,-80,-85
B4,-76,-82,-80,-85
B4,-76,-82,-82,-85
B4,-76,-82,-82,-85
B4,-82,-82,-82,-85
B4,-82,-82,-82,-85
B4,-82,-82,-83,-85
C0,-85,-83,-89,-89
C0,-85,-83,-89,-89
C0,-84,-83,-89,-89
C0,-84,-83,-89,-89
C0,-77,-83,-89,-89
C0,-77,-83,-89,-89
C0,-77,-83,-89,-89
C0,-77,-83,-89,-89
C0,-77,-83,-89,-89
C0,-77,-83,-89,-89
C0,-77,-83,-89,-89
C0,-77,-83,-89,-89
C0,-77,-83,-89,-89
C0,-77,-83,-89,-89
C0,-77,-83,-89,-89
C0,-77,-83,-89,-89
C0,-77,-83,-89,-89
C0,-77,-83,-89,-89
C1,-80,-81,-83,-89
C1,-80,-81,-83,-89
C1,-80,-81,-83,-89
C1,-80,-81,-83,-89
C1,-80,-81,-83,-89
C1,-80,-81,-83,-89
C1,-80,-81,-83,-89
C1,-80,-81,-83,-89
C1,-80,-81,-83,-89
C1,-80,-81,-83,-89
C1,-80,-81,-83,-89
C1,-80,-81,-83,-89
C1,-80,-81,-83,-89
C1,-82,-81,-83,-89
C1,-82,-81,-83,-89
C1,-82,-81,-83,-89
C1,-75,-86,-84,-86
C1,-81,-78,-84,-86
C1,-81,-78,-84,-86
C2,-85,-77,-83,-85
C2,-85,-77,-83,-85
C2,-85,-77,-84,-85
C2,-85,-77,-84,-85
C2,-85,-77,-84,-85
C2,-85,-77,-84,-85
C2,-85,-77,-84,-85
C2,-85,-77,-84,-85
C2,-81,-77,-84,-85
C2,-81,-77,-84,-85
C2,-77,-82,-84,-85
C2,-77,-82,-84,-85
C2,-77,-82,-84,-85
C2,-77,-82,-84,-85
C2,-77,-82,-84,-85
C2,-77,-82,-84,-85
C2,-77,-82,-84,-85
C2,-77,-82,-84,-85
C2,-77,-78,-85,-85
C2,-77,-78,-85,-85
C2,-77,-78,-85,-85
C2,-81,-78,-77,-85
C2,-81,-78,-83,-85
C2,-88,-86,-82,-85
C2,-88,-86,-82,-85
C3,-84,-81,-76,-74
C3,-84,-81,-76,-74
C3,-84,-81,-86,-74
C3,-84,-81,-86,-74
C3,-84,-81,-86,-74
C3,-84,-81,-86,-74
C3,-84,-81,-86,-74
C3,-84,-81,-86,-74
C3,-84,-81,-86,-74
C3,-84,-81,-86,-74
C3,-84,-81,-86,-74
C3,-84,-81,-86,-74
C3,-84,-81,-86,-74
C3,-84,-81,-86,-74
C3,-84,-81,-86,-74
C3,-84,-81,-86,-74
C3,-84,-81,-86,-74
C3,-84,-81,-86,-74
C3,-84,-81,-86,-74
C3,-84,-81,-86,-74
C3,-82,-80,-86,-74
C3,-82,-80,-86,-74
C3,-82,-81,-86,-74
C3,-82,-81,-86,-74
C4,-82,-80,-77,-83
C4,-82,-80,-77,-83
C4,-82,-80,-77,-83
C4,-82,-80,-77,-83
C4,-82,-80,-77,-83
C4,-82,-80,-77,-83
C4,-82,-80,-77,-83
C4,-82,-80,-77,-83
C4,-84,-80,-77,-83
C4,-84,-80,-77,-83
C4,-83,-80,-80,-83
C4,-83,-80,-80,-83
C4,-83,-80,-80,-83
C4,-83,-80,-80,-83
C4,-83,-80,-81,-83
C4,-83,-80,-81,-83
C4,-83,-80,-81,-83
C4,-83,-80,-87,-83
C4,-83,-80,-87,-83
D0,-83,-80,-76,-84
D0,-83,-80,-76,-84
D0,-83,-80,-76,-84
D0,-83,-80,-76,-84
D0,-83,-80,-76,-84
D0,-83,-80,-76,-84
D0,-82,-80,-76,-86
D0,-82,-80,-76,-86
D0,-88,-75,-76,-83
D0,-88,-83,-76,-83
D0,-82,-83,-76,-84
D0,-82,-83,-76,-84
D0,-82,-83,-76,-84
D0,-82,-83,-76,-84
D0,-82,-83,-76,-84
D0,-82,-83,-76,-84
D0,-82,-83,-76,-84
D1,-82,-80,-86,-85
D1,-82,-80,-86,-85
D1,-82,-80,-86,-85
D1,-82,-80,-86,-85
D1,-87,-80,-86,-85
D1,-87,-80,-86,-85
D1,-82,-82,-86,-85
D1,-82,-82,-86,-85
D1,-82,-82,-86,-85
D1,-82,-82,-86,-85
D1,-82,-82,-86,-85
D1,-82,-82,-86,-85
D1,-82,-82,-86,-85
D1,-82,-82,-86,-85
D1,-82,-82,-86,-85
D1,-82,-82,-86,-85
D1,-82,-82,-86,-85
D1,-82,-82,-86,-85
D1,-82,-82,-86,-85
D1,-82,-82,-86,-85
D1,-82,-82,-86,-85
D1,-82,-82,-86,-85
D1,-82,-82,-86,-85
D1,-82,-82,-86,-85
D2,-82,-80,-84,-83
D2,-82,-80,-84,-83
D2,-82,-80,-84,-83
D2,-82,-80,-84,-83
D2,-82,-80,-84,-83
D2,-82,-80,-84,-83
D2,-82,-80,-84,-83
D2,-82,-80,-84,-83
D2,-82,-80,-84,-83
D2,-82,-80,-84,-83
D2,-82,-80,-84,-83
D2,-82,-80,-84,-83
D2,-82,-80,-84,-83
D2,-82,-80,-84,-83
D2,-82,-80,-84,-83
D2,-82,-80,-84,-83
D2,-82,-80,-84,-83
D2,-82,-80,-84,-83
D2,-82,-80,-84,-83
D2,-82,-80,-84,-83
D3,-82,-80,-81,-81
D3,-82,-80,-81,-81
D3,-85,-89,-81,-81
D3,-85,-89,-81,-81
D3,-85,-89,-81,-81
D3,-85,-89,-81,-81
D3,-85,-89,-81,-81
D3,-85,-89,-81,-81
D3,-85,-89,-81,-81
D3,-85,-89,-81,-81
D3,-85,-89,-81,-81
D3,-85,-89,-81,-81
D3,-85,-89,-81,-81
D3,-85,-89,-81,-81
D3,-85,-89,-81,-81
D3,-85,-89,-81,-81
D3,-85,-89,-81,-81
D3,-85,-89,-81,-81
D4,-81,-82,-81,-81
D4,-81,-82,-81,-81
D4,-81,-82,-81,-81
D4,-81,-81,-81,-81
D4,-81,-81,-81,-81
D4,-81,-81,-81,-81
D4,-81,-81,-81,-81
D4,-81,-81,-81,-81
D4,-81,-81,-81,-81
D4,-81,-81,-81,-81
D4,-81,-81,-81,-81
D4,-88,-84,-81,-81
D4,-88,-84,-81,-81
D4,-88,-84,-81,-81
D4,-88,-84,-81,-81
D4,-88,-84,-81,-81
D4,-88,-84,-81,-83
D4,-88,-84,-81,-83
D4,-88,-83,-81,-83
E0,-84,-80,-84,-83
E0,-84,-80,-84,-83
E0,-84,-80,-84,-83
E0,-84,-80,-84,-83
E0,-85,-79,-84,-83
E0,-85,-79,-83,-83
E0,-85,-79,-83,-83
E0,-85,-79,-83,-83
E0,-85,-79,-83,-83
E0,-85,-79,-83,-83
E0,-85,-79,-83,-83
E0,-85,-79,-83,-83
E0,-85,-79,-83,-83
E0,-85,-79,-83,-83
E0,-85,-79,-83,-83
E0,-85,-79,-83,-83
E0,-85,-78,-83,-87
E1,-84,-73,-82,-87
E1,-84,-73,-82,-87
E1,-84,-73,-82,-87
E1,-84,-73,-82,-87
E1,-84,-73,-82,-87
E1,-84,-73,-82,-87
E1,-84,-73,-82,-87
E1,-89,-73,-82,-87
E1,-89,-73,-82,-87
E1,-89,-73,-82,-87
E1,-89,-73,-82,-87
E1,-89,-73,-82,-87
E1,-89,-73,-82,-87
E1,-89,-73,-82,-87
E1,-89,-73,-82,-87
E1,-89,-73,-82,-87
E1,-89,-73,-82,-87
E1,-89,-73,-82,-87
E1,-89,-73,-82,-87
E2,-89,-84,-82,-82
E2,-89,-84,-82,-82
E2,-89,-84,-82,-82
E2,-89,-84,-82,-82
E2,-89,-83,-82,-82
E2,-89,-83,-82,-82
E2,-89,-83,-82,-82
E2,-89,-89,-82,-83
E2,-89,-89,-82,-83
E2,-89,-83,-82,-84
E2,-89,-78,-82,-84
E2,-89,-78,-82,-84
E2,-89,-78,-82,-84
E2,-89,-78,-82,-84
E2,-89,-78,-82,-84
E3,-89,-78,-82,-84
E3,-89,-78,-82,-84
E3,-89,-78,-82,-84
E3,-89,-78,-82,-84
E3,-89,-78,-82,-84
E3,-83,-78,-82,-84
E3,-83,-78,-82,-81
E3,-83,-78,-82,-81
E3,-83,-78,-82,-81
E3,-83,-78,-82,-81
E3,-83,-78,-82,-81
E3,-83,-78,-82,-81
E3,-83,-78,-82,-81
E3,-83,-78,-82,-81
E3,-83,-78,-82,-81
E3,-83,-78,-82,-81
E3,-83,-78,-82,-81
E3,-83,-78,-82,-81
E4,-83,-78,-82,-81
E4,-83,-78,-82,-81
E4,-83,-78,-82,-81
E4,-83,-78,-82,-81
E4,-83,-78,-82,-81
E4,-83,-78,-82,-81
E4,-83,-78,-82,-81
E4,-83,-78,-82,-81
E4,-83,-78,-82,-81
E4,-83,-78,-82,-81
E4,-83,-78,-82,-81
E4,-83,-78,-82,-81
E4,-83,-78,-82,-81
E4,-83,-78,-82,-81
E4,-83,-78,-82,-81
E4,-83,-78,-82,-81
E4,-83,-78,-82,-81
E4,-83,-78,-82,-81
E4,-83,-78,-82,-81
E4,-83,-78,-82,-81
E3,-82,-85,-85,-83
E3,-82,-85,-85,-83
E3,-83,-85,-85,-83
E3,-84,-84,-85,-83
E3,-84,-84,-85,-83
E3,-84,-84,-85,-83
E3,-84,-84,-85,-83
E3,-84,-84,-85,-83
E3,-81,-84,-85,-83
E3,-81,-85,-85,-83
E3,-81,-85,-85,-83
E3,-81,-85,-85,-83
E3,-80,-85,-85,-84
E3,-80,-85,-85,-84
E3,-81,-84,-85,-84
E3,-81,-84,-85,-84
E3,-81,-84,-85,-84
E3,-81,-84,-85,-84
E3,-81,-84,-85,-84
E4,-86,-79,-85,-74
E4,-86,-79,-85,-74
